"NANSHA, CHINA",,"NASHVILLE, TN","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NASHVILLE, TN","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"YANTIAN, CHINA",,"NASHVILLE, TN","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"YANTIAN, CHINA",,"NASHVILLE, TN","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3722,4422,4422,5596,,FAK (Straight load only),
"YANTIAN, CHINA",,"NASHVILLE, TN","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3732,4432,4432,5606,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NASHVILLE, TN","VANCOUVER, CANADA",20 ,Y/R,APLU,7/15/2018,7/31/2018,3732,4432,4432,5606,,FAK (Straight load only),
"YANTIAN, CHINA",,"NASHVILLE, TN","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3732,4432,4432,5606,,FAK (Straight load only),
"NANSHA, CHINA",,"ROCHELLE, IL","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ROCHELLE, IL","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"ROCHELLE, IL","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"ROCHELLE, IL","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"ROCHELLE, IL","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3307,3932,3932,4973,,FAK (Straight load only),
